Qty ,Value              ,Device             ,Package               ,Parts                                                                                 ,Description                                                             
2,                   ,AUDIO-JACKPTH      ,AUDIO-JACK            ,"JP1, JP2                                                                              ",3.5mm Stereo Audio Jack  CUI SJ1-3523N                                                      
4,                   ,DIODESOD123        ,SOD-123               ,"D1, D2, D3, D4                                                                        ",1N4148 SOD-123 didoe
1,                   ,SWITCH-DPDTEG2211  ,EG2211                ,S1                                                                                    ,DPDT Version of the COM-00597                                           
9,100n               ,C-EUC0805          ,C0805                 ,"C1, C2, C3, C4, C5, C6, C7, C8, C9                                                    ",0805 X7R capacitors
16,10K                ,R-EU_R0805         ,R0805                 ,"R20, R22, R24, R26, R28, R30, R32, R34, R36, R38, R40, R42, R44, R46, R48, R51        ",0805 1% Resistors
16,1K                 ,R-EU_R0805         ,R0805                 ,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16                 ",0805 1% Resistors
2,47,R-EU_R0805         ,R0805                 ,"R49, R52                                                                              ",0805 1% Resistors
16,5.6K               ,R-EU_R0805         ,R0805                 ,"R19, R21, R23, R25, R27, R29, R31, R33, R35, R37, R39, R41, R43, R45, R47, R50        ",0805 1% Resistors
1,CD74HC4067SM96     ,744067SO24         ,SOIC127P1030X265-24   ,U1                                                                                    ,16-channel analog MUX                                                   
2,DNP                ,R-EU_R0805         ,R0805                 ,"R17, R18                                                                              ",0805 1% Resistors
8,MCP6004_SMD        ,MCP6004_SMD        ,SO14                  ,"U2, U3, U4, U5, U6, U7, U8, U9",MCP6004 quad op amp
16,PJ302M             ,PJ302M             ,PJ302M                ,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16                 ",PJ302M horizontal / right angled mount 3.5 mm jack socket (available at Thonk) or CUI MJ-3536 (more expensive)
16,SLIDEPOT-ALPS-60MM ,SLIDEPOT-ALPS-60MM ,RS6011SP600           ,"U$1, U$2, U$3, U$4, U$5, U$6, U$7, U$8, U$9, U$10, U$11, U$12, U$13, U$14, U$15, U$16 ",                                                                        
1,TEENSY_3.1-3.2_DIL ,TEENSY_3.1-3.2_DIL ,TEENSY_3.0-3.2&LC_DIL ,U$17                                                                                  ,Teensy 3.1 or 3.2 in a DIL Layout.                                      
,,,,,
Hardware,,,,,
8,Harwin R25-1001002,,,,10mm F-F standoff
8,Harwin R25-3000602,,,,6mm M-F standoff
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
